Date,Description,Amount,Type,Balance,Reference,BankAccount
14/11/2024,FPS TRANSFER DEPOSIT,4000.00,Credit,4000.00,02050130279,ERL-DSB-S
15/11/2024,INTERNET TRANSFER W/D,4000.00,Debit,0.00,,ERL-DSB-S
03/12/2024,CHEQUE DEPOSIT - CHQ NO.000098,14000.00,Credit,14000.00,000098,ERL-DSB-S
04/12/2024,INTERNET TRANSFER W/D,14000.00,Debit,0.00,,ERL-DSB-S
11/12/2024,CHEQUE DEPOSIT - CHQ NO.215547,2000.00,Credit,2000.00,215547,ERL-DSB-S
24/12/2024,INTERNET TRANSFER W/D,2000.00,Debit,0.00,,ERL-DSB-S
31/12/2024,INTEREST DEPOSIT,0.14,Credit,0.14,,ERL-DSB-S
03/01/2025,FPS TRANSFER DEPOSIT,4500.00,Credit,4500.14,02163020353,ERL-DSB-S
05/01/2025,INTERNET TRANSFER W/D,4500.00,Debit,0.14,,ERL-DSB-S
23/01/2025,FPS TRANSFER DEPOSIT,30000.00,Credit,30000.14,02211073217,ERL-DSB-S
28/01/2025,INTEREST DEPOSIT,1.84,Credit,30001.98,,ERL-DSB-S
04/02/2025,INTERNET TRANSFER DEPOSIT,5000.00,Credit,35001.98,,ERL-DSB-S
15/02/2025,MOBILE TRANSFER W/D,5000.00,Debit,30001.98,,ERL-DSB-S
18/02/2025,MOBILE TRANSFER W/D,4000.00,Debit,26001.98,,ERL-DSB-S
20/02/2025,INTERNET TRANSFER DEPOSIT,4000.00,Credit,30001.98,,ERL-DSB-S
28/02/2025,INTEREST DEPOSIT,6.07,Credit,30008.05,,ERL-DSB-S
14/03/2025,MOBILE TRANSFER W/D,4000.00,Debit,26008.05,,ERL-DSB-S
16/03/2025,INTERNET TRANSFER DEPOSIT,4000.00,Credit,30008.05,,ERL-DSB-S
16/03/2025,INTERNET TRANSFER DEPOSIT,5000.00,Credit,35008.05,,ERL-DSB-S
24/03/2025,MOBILE TRANSFER W/D,3000.00,Debit,32008.05,,ERL-DSB-S
31/03/2025,INTEREST DEPOSIT,6.63,Credit,32014.68,,ERL-DSB-S
14/04/2025,FPS TRANSFER DEPOSIT,4000.00,Credit,36014.68,02403823901,ERL-DSB-S
14/04/2025,MOBILE TRANSFER W/D,4000.00,Debit,32014.68,,ERL-DSB-S
19/04/2025,MOBILE TRANSFER W/D,2000.00,Debit,30014.68,,ERL-DSB-S
20/04/2025,INTERNET TRANSFER DEPOSIT,5000.00,Credit,35014.68,,ERL-DSB-S
20/04/2025,INTERNET TRANSFER DEPOSIT,4000.00,Credit,39014.68,,ERL-DSB-S
27/04/2025,FPS TRANSFER DEPOSIT,1000.00,Credit,40014.68,02431028934,ERL-DSB-S
27/04/2025,FPS TRANSFER DEPOSIT,1000.00,Credit,41014.68,02431065609,ERL-DSB-S
29/04/2025,FPS TRANSFER DEPOSIT,8300.00,Credit,49314.68,02436791865,ERL-DSB-S
30/04/2025,INTEREST DEPOSIT,7.16,Credit,49321.84,,ERL-DSB-S
