Date,Description,DisplayName,Amount,Type,Method,Balance,Reference,BankAccount
14/11/2024,FPS TRANSFER DEPOSIT,FPS Deposit,4000.00,Credit,FPS,4000.00,02050130279,ERL-DSB-S
15/11/2024,INTERNET TRANSFER W/D,Internet Transfer Out,4000.00,Debit,Internet Transfer,0.00,,ERL-DSB-S
03/12/2024,CHEQUE DEPOSIT - CHQ NO.000098,Cheque #000098,14000.00,Credit,Cheque,14000.00,000098,ERL-DSB-S
04/12/2024,INTERNET TRANSFER W/D,Internet Transfer Out,14000.00,Debit,Internet Transfer,0.00,,ERL-DSB-S
04/12/2024,CASH DEPOSIT,Cash Deposit,5.00,Credit,Cash,5.00,,ERL-OCBC-S
11/12/2024,CHEQUE DEPOSIT - CHQ NO.215547,Cheque #215547,2000.00,Credit,Cheque,2000.00,215547,ERL-DSB-S
24/12/2024,INTERNET TRANSFER W/D,Internet Transfer Out,2000.00,Debit,Internet Transfer,0.00,,ERL-DSB-S
31/12/2024,INTEREST DEPOSIT,Interest Payment,0.14,Credit,Interest,0.14,,ERL-DSB-S
03/01/2025,FPS TRANSFER DEPOSIT,FPS Deposit,4500.00,Credit,FPS,4500.14,02163020353,ERL-DSB-S
03/01/2025,TRANSFER CREDIT - INTERNETBANK,Transfer In,150.00,Credit,Internet Transfer,155.00,,ERL-OCBC-S
05/01/2025,INTERNET TRANSFER W/D,Internet Transfer Out,4500.00,Debit,Internet Transfer,0.14,,ERL-DSB-S
13/01/2025,CHEQUE DEPOSIT,Cheque Deposit,4000.00,Credit,Cheque,4155.00,,ERL-OCBC-S
14/01/2025,TRANSFER DEBIT - HMIT250114046379,Mobile Transfer Out,4000.00,Debit,Mobile Transfer,155.00,HMIT250114046379,ERL-OCBC-S
23/01/2025,FPS TRANSFER DEPOSIT,FPS Deposit,30000.00,Credit,FPS,30000.14,02211073217,ERL-DSB-S
28/01/2025,INTEREST DEPOSIT,Interest Payment,1.84,Credit,Interest,30001.98,,ERL-DSB-S
04/02/2025,INTERNET TRANSFER DEPOSIT,Internet Transfer In,5000.00,Credit,Internet Transfer,35001.98,,ERL-DSB-S
05/02/2025,TRANSFER DEBIT - CO SEARCH FEE,Company Search Fee,150.00,Debit,Internet Transfer,5.00,,ERL-OCBC-S
15/02/2025,MOBILE TRANSFER W/D,Mobile Transfer Out,5000.00,Debit,Mobile Transfer,30001.98,,ERL-DSB-S
18/02/2025,MOBILE TRANSFER W/D,Mobile Transfer Out,4000.00,Debit,Mobile Transfer,26001.98,,ERL-DSB-S
20/02/2025,INTERNET TRANSFER DEPOSIT,Internet Transfer In,4000.00,Credit,Internet Transfer,30001.98,,ERL-DSB-S
28/02/2025,INTEREST DEPOSIT,Interest Payment,6.07,Credit,Interest,30008.05,,ERL-DSB-S
14/03/2025,MOBILE TRANSFER W/D,Mobile Transfer Out,4000.00,Debit,Mobile Transfer,26008.05,,ERL-DSB-S
16/03/2025,INTERNET TRANSFER DEPOSIT,Internet Transfer In,4000.00,Credit,Internet Transfer,30008.05,,ERL-DSB-S
16/03/2025,INTERNET TRANSFER DEPOSIT,Internet Transfer In,5000.00,Credit,Internet Transfer,35008.05,,ERL-DSB-S
24/03/2025,MOBILE TRANSFER W/D,Mobile Transfer Out,3000.00,Debit,Mobile Transfer,32008.05,,ERL-DSB-S
31/03/2025,INTEREST DEPOSIT,Interest Payment,6.63,Credit,Interest,32014.68,,ERL-DSB-S
14/04/2025,FPS TRANSFER DEPOSIT,FPS Deposit,4000.00,Credit,FPS,36014.68,02403823901,ERL-DSB-S
14/04/2025,MOBILE TRANSFER W/D,Mobile Transfer Out,4000.00,Debit,Mobile Transfer,32014.68,,ERL-DSB-S
19/04/2025,MOBILE TRANSFER W/D,Mobile Transfer Out,2000.00,Debit,Mobile Transfer,30014.68,,ERL-DSB-S
20/04/2025,INTERNET TRANSFER DEPOSIT,Internet Transfer In,5000.00,Credit,Internet Transfer,35014.68,,ERL-DSB-S
20/04/2025,INTERNET TRANSFER DEPOSIT,Internet Transfer In,4000.00,Credit,Internet Transfer,39014.68,,ERL-DSB-S
27/04/2025,FPS TRANSFER DEPOSIT,FPS Deposit,1000.00,Credit,FPS,40014.68,02431028934,ERL-DSB-S
27/04/2025,FPS TRANSFER DEPOSIT,FPS Deposit,1000.00,Credit,FPS,41014.68,02431065609,ERL-DSB-S
29/04/2025,FPS TRANSFER DEPOSIT,FPS Deposit,8300.00,Credit,FPS,49314.68,02436791865,ERL-DSB-S
30/04/2025,INTEREST DEPOSIT,Interest Payment,7.16,Credit,Interest,49321.84,,ERL-DSB-S
27/05/2025,TRANSFER CREDIT - INTERNETBANK,Transfer In,15000.00,Credit,Internet Transfer,15005.00,,ERL-OCBC-S
31/05/2025,INTEREST PAYMENT,Interest Payment,0.41,Credit,Interest,15005.41,,ERL-OCBC-S
02/06/2025,VISA DEBIT - ABURI EN TIMES SQU,ABURI EN TIMES SQU,411.00,Debit,VISA,14594.41,,ERL-OCBC-S
05/06/2025,VISA DEBIT - GOOGLE GSUITE THEE,GOOGLE GSUITE THEE,282.00,Debit,VISA,14312.41,,ERL-OCBC-S
05/06/2025,VISA DEBIT - MISC DEBIT,MISC DEBIT,2.82,Debit,VISA,14309.59,,ERL-OCBC-S
05/06/2025,TRANSFER DEBIT - HMIT250605067811,Mobile Transfer Out,14000.00,Debit,Mobile Transfer,309.59,HMIT250605067811,ERL-OCBC-S
06/06/2025,VISA DEBIT - 7-ELEVEN HK,7-ELEVEN HK,100.00,Debit,VISA,209.59,,ERL-OCBC-S
07/06/2025,VISA DEBIT - BIRDIE,BIRDIE,50.00,Debit,VISA,159.59,,ERL-OCBC-S
11/06/2025,CHEQUE DEPOSIT - CQM QDP,Cheque Deposit,9500.00,Credit,Cheque,9659.59,,ERL-OCBC-S
13/06/2025,TRANSFER DEBIT - HMIT250613069179,Mobile Transfer Out,9000.00,Debit,Mobile Transfer,659.59,HMIT250613069179,ERL-OCBC-S
18/06/2025,TRANSFER DEBIT - HMIT250618069892,Mobile Transfer Out,659.59,Debit,Mobile Transfer,0.00,HMIT250618069892,ERL-OCBC-S
30/06/2025,INTEREST PAYMENT,Interest Payment,0.50,Credit,Interest,0.50,,ERL-OCBC-S
